2025-07-23 10:48:37 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:13:47 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:13:47] "POST / HTTP/1.1" 200 -
2025-07-23 16:13:53 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:13:54 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 51
2025-07-23 16:14:10 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:14:10 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:14:10] "GET / HTTP/1.1" 200 -
2025-07-23 16:14:15 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:14:16 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 49
2025-07-23 16:14:24 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:14:24 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:14:24] "GET / HTTP/1.1" 200 -
2025-07-23 16:14:28 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:14:29 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 10
2025-07-23 16:14:29 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 10 = 55
2025-07-23 16:14:29 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:14:29] "POST / HTTP/1.1" 200 -
2025-07-23 16:14:36 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:14:37 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 12
2025-07-23 16:14:37 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 12 = 144
2025-07-23 16:14:37 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:14:37] "POST / HTTP/1.1" 200 -
2025-07-23 16:14:41 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:14:42 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 15
2025-07-23 16:14:42 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 15 = 610
2025-07-23 16:14:42 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:14:42] "POST / HTTP/1.1" 200 -
2025-07-23 16:14:45 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:14:47 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 25
2025-07-23 16:14:47 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 25 = 75025
2025-07-23 16:14:47 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:14:47] "POST / HTTP/1.1" 200 -
2025-07-23 16:14:52 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:14:53 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 40
2025-07-23 16:15:49 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:15:49 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:15:49] "GET / HTTP/1.1" 200 -
2025-07-23 16:15:55 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:15:57 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 35
2025-07-23 16:16:05 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 35 = 9227465
2025-07-23 16:16:06 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:16:06] "POST / HTTP/1.1" 200 -
2025-07-23 16:16:15 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:16:18 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 39
2025-07-23 16:16:21 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 40 = 102334155
2025-07-23 16:16:21 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:16:21] "POST / HTTP/1.1" 200 -
2025-07-23 16:18:23 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:18:23 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:18:23 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:18:23 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:18:23 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:18:24 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:18:24 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:18:24 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:18:24 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:18:38 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:18:38 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:18:38] "GET / HTTP/1.1" 200 -
2025-07-23 16:18:44 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:18:44 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 29
2025-07-23 16:18:44 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 29 = 514229
2025-07-23 16:18:44 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:18:44] "POST / HTTP/1.1" 200 -
2025-07-23 16:18:48 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:18:48 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 30
2025-07-23 16:18:49 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 30 = 832040
2025-07-23 16:18:49 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:18:49] "POST / HTTP/1.1" 200 -
2025-07-23 16:18:58 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:18:58 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 31
2025-07-23 16:18:59 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 31 = 1346269
2025-07-23 16:18:59 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:18:59] "POST / HTTP/1.1" 200 -
2025-07-23 16:19:08 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:19:08 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 32
2025-07-23 16:19:09 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 32 = 2178309
2025-07-23 16:19:09 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:19:09] "POST / HTTP/1.1" 200 -
2025-07-23 16:28:09 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:28:09 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:28:09 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:28:09 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:28:09 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:28:10 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:28:10 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:28:10 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:28:10 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:28:21 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:28:21 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:28:21 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:28:21 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:28:21 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:28:21 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:28:21 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:28:21 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:28:21 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:28:34 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:28:34 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:28:34 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:28:34 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:28:34 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:28:34 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:28:34 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:28:34 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:28:34 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:28:43 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:28:43 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:28:44 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:28:44 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:28:44 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:28:44 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:28:44 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:28:44 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:28:44 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:30:01 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:30:01 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:30:01 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:30:01 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:30:01 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:30:01 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:30:01 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:30:01 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:30:01 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:32:53 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:33:00 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:33:00 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:33:00 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:33:00 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:33:00 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:33:11 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:33:11 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:33:11 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:33:30 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:33:35 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:33:35 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:33:35 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:33:35 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:33:35 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:33:41 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:33:41 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:33:41 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:36:06 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:36:14 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:37:47 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:37:52 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:41:31 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:41:31 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:41:31 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:41:31 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:41:31 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:41:31 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:41:31 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:41:31 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:41:31 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:44:32 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:44:32 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:44:32 | INFO     | root                 | <module>             | Cleared persisted authentication state.
2025-07-23 16:44:32 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:44:32 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:44:32 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:44:32 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:44:32 | WARNING  | root                 | _load_auth_state     | Failed to load auth state: Expecting value: line 1 column 1 (char 0)
2025-07-23 16:44:32 | INFO     | root                 | <module>             | Cleared persisted authentication state.
2025-07-23 16:44:36 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:44:36 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:44:36 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:45:12 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:45:12 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:45:12] "GET / HTTP/1.1" 200 -
2025-07-23 16:45:18 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:45:18 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 4
2025-07-23 16:45:18 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 4 = 3
2025-07-23 16:45:18 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:45:18] "POST / HTTP/1.1" 200 -
2025-07-23 16:45:31 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:45:31 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:45:31 | INFO     | root                 | <module>             | Cleared persisted authentication state.
2025-07-23 16:45:31 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:45:31 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:45:31 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:45:32 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:45:32 | WARNING  | root                 | _load_auth_state     | Failed to load auth state: Expecting value: line 1 column 1 (char 0)
2025-07-23 16:45:32 | INFO     | root                 | <module>             | Cleared persisted authentication state.
2025-07-23 16:45:36 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:45:36 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:45:36 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:45:42 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:45:42 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:45:42] "GET / HTTP/1.1" 200 -
2025-07-23 16:45:45 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:45:45 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 31
2025-07-23 16:45:46 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 31 = 1346269
2025-07-23 16:45:46 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:45:46] "POST / HTTP/1.1" 200 -
2025-07-23 16:53:36 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:53:36 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:53:36 | INFO     | root                 | <module>             | Cleared persisted authentication state.
2025-07-23 16:53:36 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:53:36 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:53:36 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:53:37 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:53:37 | WARNING  | root                 | _load_auth_state     | Failed to load auth state: Expecting value: line 1 column 1 (char 0)
2025-07-23 16:53:37 | INFO     | root                 | <module>             | Cleared persisted authentication state.
2025-07-23 16:53:42 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:53:42 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:53:42 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:53:52 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:53:52 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:53:52] "GET / HTTP/1.1" 200 -
2025-07-23 16:54:02 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:54:02 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 28
2025-07-23 16:54:02 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 28 = 317811
2025-07-23 16:54:02 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:54:02] "POST / HTTP/1.1" 200 -
2025-07-23 16:54:11 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
